,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
42,busselton,35,AU,1584494867,95,-33.65,115.33,15.56,2.24
43,moron,100,AR,1584494971,93,-34.65,-58.62,20.0,6.7
44,castro,0,BR,1584494972,97,-24.79,-50.01,18.56,2.64
45,berezovyy,83,RU,1584494972,64,51.67,135.7,-3.03,1.17
46,aykhal,0,RU,1584494972,69,66.0,111.5,-25.0,3.0
47,pemangkat,43,ID,1584494972,92,1.17,108.97,24.73,3.04
48,kavaratti,38,IN,1584494972,69,10.57,72.64,28.07,2.06
49,nikolskoye,75,RU,1584494973,86,59.7,30.79,4.0,4.0
50,puro,13,PH,1584494973,78,12.48,123.38,25.55,4.42
51,deer lake,90,CA,1584494973,74,49.17,-57.43,-1.0,4.6
52,new norfolk,75,AU,1584494973,31,-42.78,147.06,24.0,4.6
53,matamoros,53,MX,1584494794,22,25.53,-103.25,29.6,5.01
54,teya,100,RU,1584494974,85,60.38,92.63,-11.9,2.36
55,codrington,100,AU,1584494974,56,-38.27,141.97,20.07,5.72
56,muros,0,ES,1584494974,81,42.78,-9.06,14.44,2.1
57,atuona,22,PF,1584494975,73,-9.8,-139.03,28.28,4.62
58,mitsamiouli,81,KM,1584494975,65,-11.38,43.28,28.59,1.14
59,sinnamary,39,GF,1584494975,78,5.38,-52.95,27.04,6.22
60,portland,75,US,1584494846,38,45.52,-122.68,16.11,1.5
61,tazovskiy,100,RU,1584494975,95,67.47,78.7,-6.71,4.78
62,puerto ayora,20,EC,1584494976,65,-0.74,-90.35,28.0,4.6
63,manado,40,ID,1584494976,70,1.49,124.85,29.0,1.5
64,tiksi,87,RU,1584494976,88,71.69,128.87,-35.0,3.54
65,bembereke,44,BJ,1584494976,37,10.23,2.66,27.54,0.98
66,srednekolymsk,82,RU,1584494977,91,67.45,153.68,-21.66,4.31
67,vila franca do campo,20,PT,1584494977,82,37.72,-25.43,13.0,1.77
68,tucumcari,1,US,1584494896,87,35.17,-103.72,11.0,6.02
69,langham,90,CA,1584494978,78,52.37,-106.97,-9.44,6.2
70,jamestown,1,US,1584494978,74,42.1,-79.24,4.0,3.1
71,cherskiy,100,RU,1584494978,93,68.75,161.3,-16.38,6.2
72,bacolod,5,PH,1584494978,64,10.67,122.95,26.93,2.24
73,chuy,100,UY,1584494978,83,-33.7,-53.46,19.87,4.29
74,avarua,100,CK,1584494844,83,-21.21,-159.78,28.0,8.2
75,shelburne,5,CA,1584494754,47,44.08,-80.2,3.0,1.5
76,chara,100,RU,1584494979,78,56.91,118.26,-6.08,1.38
77,komsomolskiy,68,UZ,1584494979,47,40.43,71.72,13.0,5.1
78,arraial do cabo,99,BR,1584494979,84,-22.97,-42.03,26.01,3.63
79,hecun,0,CN,1584494980,15,36.53,114.11,14.94,5.47
80,hilo,90,US,1584494980,83,19.73,-155.09,24.44,3.1
81,butaritari,26,KI,1584494980,74,3.07,172.79,28.55,5.18
82,torbat-e jam,92,IR,1584494981,62,35.24,60.62,11.9,1.9
83,jumla,0,NP,1584494981,51,29.27,82.18,-1.02,2.47
84,bambous virieux,20,MU,1584494981,100,-20.34,57.76,23.0,2.6
85,nhulunbuy,75,AU,1584494981,88,-12.23,136.77,26.0,2.1
86,bismil,75,TR,1584494982,87,37.85,40.67,10.0,4.6
87,odweyne,3,SO,1584494982,66,9.41,45.06,18.85,1.82
88,ponta delgada,20,PT,1584494982,82,37.73,-25.67,13.0,1.75
89,vero beach,1,US,1584494938,73,27.64,-80.4,23.89,4.1
90,havoysund,90,NO,1584494983,92,71.0,24.66,-3.0,7.2
91,maningrida,17,AU,1584494983,74,-12.07,134.27,28.18,4.73
92,zambezi,100,ZM,1584494983,97,-13.54,23.1,18.73,0.99
93,bengkulu,69,ID,1584494846,90,-3.8,102.27,23.56,1.68
94,husavik,90,IS,1584494984,95,66.04,-17.34,0.0,12.9
95,tuktoyaktuk,90,CA,1584494984,84,69.45,-133.04,-18.0,0.5
96,ancud,21,CL,1584494984,100,-41.87,-73.82,10.0,2.1
97,kapaa,75,US,1584494984,94,22.08,-159.32,26.0,3.1
98,tongren,27,CN,1584494984,90,27.72,109.19,10.14,0.14
99,georgetown,20,MY,1584494985,74,5.41,100.34,28.0,3.6
100,vaini,90,TO,1584494985,83,-21.2,-175.2,27.0,2.6
101,orlik,0,RU,1584494985,93,52.52,99.83,-20.58,2.01
102,san isidro,100,PE,1584494985,83,-12.12,-77.05,23.0,7.2
103,saint-pierre,90,RE,1584494986,88,-21.34,55.48,24.0,3.1
104,isangel,90,VU,1584494986,70,-19.55,169.27,29.0,3.1
105,yellowknife,75,CA,1584494962,70,62.46,-114.35,-18.33,4.1
106,geraldton,88,AU,1584494986,43,-28.77,114.6,23.0,6.2
107,dwarka,0,IN,1584494987,65,22.24,68.97,25.4,4.16
108,ploemeur,12,FR,1584494988,93,47.73,-3.43,4.44,1.0
109,port elizabeth,0,ZA,1584494988,68,-33.92,25.57,20.0,7.7
110,cabo san lucas,75,MX,1584494988,64,22.89,-109.91,25.0,4.6
111,karachi,0,PK,1584494985,34,24.91,67.08,19.0,2.6
112,vallenar,0,CL,1584494989,92,-28.57,-70.76,13.15,0.78
113,longyearbyen,20,SJ,1584494989,68,78.22,15.64,-28.0,3.1
114,tilichiki,100,RU,1584494989,86,60.47,166.1,-8.93,3.72
115,dunedin,0,NZ,1584494989,48,-45.87,170.5,17.78,3.13
116,khatanga,82,RU,1584494990,87,71.97,102.5,-26.33,3.74
117,beyneu,96,KZ,1584494990,66,45.32,55.2,3.93,3.76
118,kieta,42,PG,1584494990,68,-6.22,155.63,29.09,1.48
119,leshukonskoye,100,RU,1584494990,86,64.9,45.76,-2.78,4.52
120,flinders,0,AU,1584494990,44,-34.58,150.86,25.0,3.6
121,parauna,22,BR,1584494990,84,-16.95,-50.45,22.35,0.4
122,puerto castilla,0,HN,1584494991,77,16.02,-85.97,26.41,7.63
123,victoria,40,HK,1584494768,68,22.29,114.16,23.33,5.1
124,huarmey,82,PE,1584494754,64,-10.07,-78.15,23.46,2.07
125,opuwo,47,NA,1584494991,78,-18.06,13.84,19.78,3.8
126,talara,33,PE,1584494992,87,-4.58,-81.27,25.65,3.54
127,ribeira grande,12,PT,1584494993,88,38.52,-28.7,14.78,4.5
128,fortuna,90,US,1584494993,87,40.6,-124.16,8.33,4.6
129,vasyurinskaya,97,RU,1584494993,69,45.12,39.42,2.0,6.0
130,peniche,0,PT,1584494993,93,39.36,-9.38,15.56,1.0
131,evensk,98,RU,1584494993,89,61.95,159.23,-11.29,1.15
132,kargasok,82,RU,1584494994,89,59.06,80.86,-4.42,10.81
133,marsh harbour,6,BS,1584494994,68,26.54,-77.06,22.5,4.39
134,bethel,1,US,1584494994,75,41.37,-73.41,10.0,2.1
135,murgab,75,TM,1584494994,67,37.5,61.97,14.0,2.1
136,lasa,8,IT,1584494995,84,46.62,10.7,6.11,2.1
137,siaya,98,KE,1584494995,93,0.06,34.29,19.0,1.91
138,coahuayana,20,MX,1584494996,73,18.73,-103.68,24.0,6.2
139,itaituba,100,BR,1584494996,95,-4.28,-55.98,24.16,0.97
140,villanueva,20,HN,1584494828,69,15.32,-88.0,27.0,5.1
141,hailun,100,CN,1584494997,97,47.45,126.93,-3.08,3.89
142,miri,75,MY,1584494732,88,4.41,114.01,28.0,1.5
143,plettenberg bay,0,ZA,1584494997,77,-34.05,23.37,17.98,4.57
144,zabol,0,AF,1584494998,68,32.25,67.25,6.51,1.84
145,dubrovytsya,70,UA,1584494999,86,51.57,26.57,2.67,1.92
146,anadyr,12,RU,1584494999,68,64.75,177.48,-2.0,3.0
147,byron bay,40,AU,1584494999,57,-28.65,153.62,25.0,6.2
148,oistins,40,BB,1584495000,73,13.07,-59.53,25.0,6.2
149,victor harbor,99,AU,1584495000,17,-35.57,138.62,32.0,5.1
150,paamiut,89,GL,1584495000,53,61.99,-49.67,-11.67,6.12
151,saint-augustin,100,CA,1584495000,85,51.23,-58.65,-2.53,9.73
152,saint peters,1,US,1584494864,75,38.8,-90.63,9.44,2.1
153,hall,1,US,1584495001,82,34.32,-83.78,17.22,2.1
154,kodiak,40,US,1584495001,75,57.79,-152.41,6.0,6.2
155,kahului,75,US,1584495001,88,20.89,-156.47,23.0,2.1
156,ilulissat,97,GL,1584495001,42,69.22,-51.1,-14.0,9.8
157,talnakh,75,RU,1584495002,85,69.49,88.4,-11.0,12.0
158,bima,2,ID,1584495002,66,-8.47,118.72,29.39,2.33
159,anderson,1,US,1584495002,82,34.53,-82.65,16.67,1.84
160,san quintin,0,MX,1584495002,64,30.48,-115.95,14.19,1.46
161,mount isa,0,AU,1584495003,31,-20.73,139.5,31.0,5.7
162,shalinskoye,100,RU,1584495003,73,55.72,93.76,2.63,8.33
163,tuatapere,99,NZ,1584495003,66,-46.13,167.68,15.0,4.02
164,poienesti,0,RO,1584495003,90,46.62,27.53,6.11,2.6
165,qui nhon,94,VN,1584495004,65,13.77,109.23,26.56,1.54
166,champerico,69,GT,1584495004,69,14.3,-91.92,27.26,0.8
167,batemans bay,0,AU,1584495005,65,-35.72,150.18,23.33,1.34
168,lompoc,20,US,1584495006,54,34.64,-120.46,13.33,4.1
169,provideniya,40,RU,1584495006,86,64.38,-173.3,-1.0,7.0
170,poya,0,NC,1584495006,79,-21.35,165.15,25.61,10.14
171,howard springs,40,AU,1584495006,57,-12.5,131.05,32.22,1.5
172,linguere,16,SN,1584495007,34,15.4,-15.12,20.42,4.42
173,hithadhoo,0,MV,1584495007,75,-0.6,73.08,29.26,5.15
174,sambava,0,MG,1584495007,97,-14.27,50.17,21.44,0.86
175,la joya,75,MX,1584495007,28,18.67,-99.47,31.67,1.5
176,sibolga,19,ID,1584495008,52,1.74,98.78,30.24,0.47
177,fukue,33,JP,1584495008,77,32.69,128.84,15.0,4.1
178,guerrero negro,0,MX,1584495008,64,27.98,-114.06,17.07,4.38
179,aswan,0,EG,1584495009,39,24.09,32.91,18.0,7.2
180,nanortalik,39,GL,1584495009,54,60.14,-45.24,-6.52,3.83
181,vao,56,NC,1584495009,75,-22.67,167.48,24.91,9.05
182,beringovskiy,98,RU,1584495009,86,63.05,179.32,0.41,2.34
183,araceli,45,PH,1584495010,80,10.55,119.99,27.15,8.81
184,riviere-au-renard,20,CA,1584495010,74,49.0,-64.4,-1.0,9.8
185,saldanha,21,ZA,1584495010,87,-33.01,17.94,16.0,3.1
186,aklavik,40,CA,1584495010,73,68.22,-135.01,-6.0,1.0
187,mbini,100,GQ,1584495011,84,1.57,9.61,27.62,2.37
188,natal,20,BR,1584495011,83,-5.79,-35.21,28.0,2.1
189,coquimbo,0,CL,1584494819,82,-29.95,-71.34,16.0,2.1
190,namtsy,99,RU,1584495011,77,62.72,129.67,-14.0,2.0
191,namibe,100,AO,1584495011,80,-15.2,12.15,22.99,2.73
192,batagay-alyta,63,RU,1584495011,86,67.8,130.41,-21.63,0.47
193,saint-philippe,90,RE,1584495012,88,-21.36,55.77,24.0,3.1
194,prieska,0,ZA,1584495012,68,-29.66,22.75,20.05,2.73
195,los llanos de aridane,20,ES,1584495012,67,28.66,-17.92,16.0,8.2
196,burnie,100,AU,1584495013,72,-41.07,145.92,19.44,2.68
197,bairiki,20,KI,1584495013,66,1.33,172.98,31.0,2.6
198,cayenne,0,GF,1584495014,94,4.93,-52.33,24.0,2.49
199,ojiya,86,JP,1584495014,55,37.3,138.8,11.08,6.69
200,zyryanka,0,RU,1584495014,68,65.75,150.85,-18.64,1.04
201,chokurdakh,91,RU,1584495015,91,70.63,147.92,-25.71,5.59
202,careiro da varzea,100,BR,1584495015,88,-3.2,-59.81,27.0,1.0
203,kavieng,100,PG,1584495016,85,-2.57,150.8,26.05,4.39
204,daru,61,PG,1584495016,73,-9.08,143.21,29.43,3.08
205,broome,90,US,1584495016,60,42.25,-75.83,4.44,3.6
206,dingle,8,PH,1584495017,62,11.0,122.67,29.65,5.96
207,airai,0,TL,1584495017,54,-8.93,125.41,26.67,2.66
208,upernavik,90,GL,1584495017,53,72.79,-56.15,-22.3,3.44
209,kaitangata,28,NZ,1584495017,72,-46.28,169.85,10.96,3.73
210,severo-kurilsk,99,RU,1584495018,87,50.68,156.12,-6.19,13.12
211,glenwood springs,1,US,1584495020,53,39.55,-107.32,16.0,6.2
212,laguna,1,US,1584495020,54,38.42,-121.42,13.0,2.1
213,port lincoln,91,AU,1584495020,24,-34.73,135.87,30.31,3.27
214,mount clemens,1,US,1584494779,39,42.6,-82.88,7.22,2.1
215,javanrud,100,IR,1584495021,93,34.8,46.52,5.14,3.7
216,acapulco,20,MX,1584495002,78,16.86,-99.89,28.0,4.1
217,stephenville,40,US,1584495021,77,32.22,-98.2,23.0,2.6
218,hobyo,95,SO,1584495021,79,5.35,48.53,24.94,4.85
219,grand gaube,20,MU,1584495022,100,-20.01,57.66,23.0,2.6
220,ekibastuz,0,KZ,1584495022,81,51.67,75.37,-3.11,7.26
221,goderich,34,CA,1584494866,68,43.75,-81.72,1.67,4.02
222,touros,20,BR,1584495023,83,-5.2,-35.46,27.0,2.1
223,ulaangom,100,MN,1584495023,88,49.98,92.07,-6.76,1.28
224,aasiaat,100,GL,1584495024,72,68.71,-52.87,-15.42,5.15
225,condado,23,CU,1584495024,61,21.88,-79.84,27.0,1.5
226,saint-joseph,90,RE,1584495025,88,-21.37,55.62,24.0,3.1
227,yulara,0,AU,1584495026,20,-25.24,130.99,34.0,4.6
228,ponta do sol,40,PT,1584495026,67,32.67,-17.1,15.0,8.7
229,luderitz,0,NA,1584495027,93,-26.65,15.16,15.0,2.1
230,pareora,5,NZ,1584495027,51,-44.49,171.21,16.67,4.02
231,saskylakh,0,RU,1584495027,78,71.92,114.08,-27.15,5.46
232,luoyang,0,CN,1584494821,23,34.68,112.45,14.1,1.97
233,haimen,90,CN,1584495028,77,23.19,116.61,19.0,2.0
234,kumluca,0,TR,1584495028,32,36.37,30.29,5.42,2.81
235,prince rupert,1,CA,1584495028,76,54.32,-130.32,9.0,4.6
236,half moon bay,20,US,1584494755,71,37.46,-122.43,13.0,2.63
237,sitka,20,US,1584495028,65,57.05,-135.33,7.0,6.2
238,la maddalena,13,IT,1584495029,81,41.21,9.41,10.0,3.6
239,tokur,99,RU,1584495029,88,53.13,132.9,-3.88,1.42
240,thabazimbi,11,ZA,1584495029,92,-24.59,27.41,16.67,1.49
241,birao,91,CF,1584495029,18,10.28,22.79,23.49,4.45
242,sorong,6,ID,1584494819,68,-0.88,131.25,28.22,1.29
243,santa ines,100,BR,1584495030,95,-3.67,-45.38,23.72,1.38
244,shimoda,20,JP,1584495030,41,34.67,138.95,16.67,6.2
245,nabire,28,ID,1584495030,51,-3.37,135.48,32.07,2.17
246,majdanpek,1,RS,1584495030,93,44.43,21.95,2.22,1.37
247,boshnyakovo,100,RU,1584495031,77,49.63,142.17,-1.15,2.58
248,chapais,1,CA,1584495031,73,49.78,-74.85,-7.0,6.2
249,zhigansk,0,RU,1584495031,90,66.77,123.37,-30.07,4.15
250,emba,0,KZ,1584495032,83,48.83,58.14,-5.03,0.97
251,lieksa,65,FI,1584495032,93,63.32,30.02,-0.38,4.23
252,olafsvik,100,IS,1584495032,84,64.89,-23.71,-2.92,15.47
253,ust-uda,19,RU,1584495032,92,54.17,103.03,-10.23,3.46
254,juneau,75,US,1584494749,56,58.3,-134.42,6.0,3.6
255,vagur,100,FO,1584495033,64,61.47,-6.81,5.06,12.96
256,zaokskiy,39,RU,1584495033,89,54.73,37.41,0.12,4.71
257,cochrane,75,CA,1584495033,85,51.18,-114.47,-3.33,3.6
258,maceio,40,BR,1584495034,88,-9.67,-35.74,26.0,1.5
259,kruisfontein,0,ZA,1584495034,86,-34.0,24.73,16.26,4.64
260,ilo,99,PE,1584495035,87,-17.64,-71.34,22.02,1.14
261,kolondieba,61,ML,1584495035,56,11.09,-6.89,27.51,2.6
262,botwood,75,CA,1584495035,79,49.15,-55.35,-2.22,8.7
263,te anau,67,NZ,1584495035,57,-45.42,167.72,14.62,4.39
264,merauke,81,ID,1584495035,53,-8.47,140.33,32.76,1.99
265,nome,90,US,1584495035,92,64.5,-165.41,0.0,1.5
266,zhicheng,12,CN,1584495036,46,30.3,111.5,21.43,0.96
267,tukrah,0,LY,1584495036,73,32.53,20.58,10.16,6.34
268,mar del plata,100,AR,1584495036,93,-38.0,-57.56,20.0,3.6
269,saint george,75,US,1584495004,44,37.1,-113.58,14.44,6.2
270,mmabatho,74,ZA,1584495038,87,-25.85,25.63,15.0,2.6
271,ust-shonosha,100,RU,1584495039,90,61.15,41.34,-0.33,5.98
272,hambantota,75,LK,1584494868,100,6.12,81.12,25.0,1.0
273,tuytepa,56,UZ,1584495039,66,41.03,69.36,11.0,2.1
274,bathsheba,40,BB,1584495039,73,13.22,-59.52,25.0,6.2
275,sao joao da barra,100,BR,1584495040,88,-21.64,-41.05,25.23,1.95
276,moosomin,100,CA,1584495040,97,50.13,-101.67,-10.24,2.89
277,fort nelson,75,CA,1584495040,42,58.81,-122.7,-1.0,3.6
278,millinocket,90,US,1584495040,96,45.66,-68.71,1.67,2.1
279,luganville,75,VU,1584495041,100,-15.53,167.17,24.0,3.1
280,kimbe,100,PG,1584495041,58,-5.55,150.14,32.07,1.6
281,snyder,40,US,1584495041,100,32.72,-100.92,14.0,3.6
282,shubarkuduk,0,KZ,1584495041,80,49.14,56.49,-0.26,0.42
283,mlonggo,40,ID,1584494875,74,-6.53,110.7,29.0,3.1
284,vila velha,40,BR,1584495042,88,-20.33,-40.29,26.11,1.5
285,kiama,0,AU,1584495042,44,-34.68,150.87,25.0,3.6
286,san vicente,0,AR,1584495042,73,-26.62,-54.13,23.01,1.37
287,narsaq,77,GL,1584495043,39,60.92,-46.05,-12.0,4.1
288,zhangjiakou,91,CN,1584495043,17,40.81,114.88,9.93,9.32
289,aracoiaba,95,BR,1584495043,92,-4.37,-38.81,22.5,1.34
290,torrijos,3,ES,1584495043,10,39.98,-4.28,10.56,3.85
291,lillehammer,3,NO,1584495043,84,61.11,10.47,-1.67,1.79
292,charters towers,0,AU,1584495044,45,-20.1,146.27,28.93,5.01
293,kemijarvi,100,FI,1584495044,91,66.71,27.43,-2.2,5.28
294,haines junction,94,CA,1584495044,80,60.75,-137.51,-8.66,2.08
295,hovd,29,MN,1584495044,25,48.01,91.64,4.39,0.65
296,sikonge,100,TZ,1584495044,98,-5.63,32.77,17.73,2.04
297,morehead,1,US,1584495045,76,37.27,-87.18,12.0,2.06
298,athens,0,GR,1584494826,65,37.98,23.72,8.33,2.5
299,torbay,90,CA,1584495045,79,47.67,-52.73,-1.67,10.8
300,bereda,0,ES,1584495045,87,43.27,-7.54,9.0,0.5
301,sur,0,OM,1584495045,42,22.57,59.53,20.62,0.89
302,norman wells,75,CA,1584495046,79,65.28,-126.83,-4.0,1.5
303,sabha,100,LY,1584495033,27,27.04,14.43,18.69,7.23
304,mantang,65,PH,1584495047,81,11.87,125.43,26.72,4.12
305,dosso,0,NE,1584495047,9,13.05,3.19,24.88,3.2
306,pisco,90,PE,1584495047,78,-13.7,-76.22,23.0,5.7
307,bubaque,0,GW,1584495047,74,11.28,-15.83,25.44,8.37
308,tautira,40,PF,1584495047,66,-17.73,-149.15,32.0,3.6
309,ostersund,61,SE,1584495048,86,63.18,14.64,-1.0,3.6
310,plouzane,56,FR,1584495048,93,48.38,-4.62,7.0,3.1
311,itoman,75,JP,1584494785,60,26.12,127.67,20.0,4.1
312,camacha,75,PT,1584495049,67,33.08,-16.33,15.0,8.2
313,sungaipenuh,42,ID,1584495049,68,-2.08,101.38,24.92,0.99
314,kenai,90,US,1584495049,86,60.55,-151.26,-0.56,2.1
315,mangrol,0,IN,1584494962,62,21.12,70.12,25.61,4.26
316,kalabo,86,ZM,1584495049,96,-14.97,22.68,18.66,2.08
317,arlit,0,NE,1584495049,10,18.74,7.39,24.05,3.16
318,kirensk,80,RU,1584495050,82,57.79,108.11,-10.52,2.14
319,ust-kulom,100,RU,1584495050,91,61.69,53.69,-5.57,4.34
320,bani,3,DO,1584494930,99,18.28,-70.33,23.33,3.49
321,takoradi,100,GH,1584495051,89,4.88,-1.76,26.16,2.78
322,vostok,99,RU,1584495051,91,46.49,135.88,-0.97,3.09
323,glasgow,100,GB,1584494996,86,55.87,-4.26,6.0,5.7
324,abu kamal,100,SY,1584495052,73,34.45,40.92,12.93,6.78
325,akonolinga,100,CM,1584495052,90,3.77,12.25,22.05,1.07
326,jalu,0,LY,1584495052,46,29.03,21.55,12.47,3.94
327,berlevag,100,NO,1584495052,87,70.86,29.09,-1.31,3.92
328,tinskoy,100,RU,1584495053,69,56.15,96.92,-2.38,4.84
329,goundam,83,ML,1584495053,9,16.41,-3.67,28.25,3.21
330,amapa,100,BR,1584495053,98,1.0,-52.0,22.22,1.22
331,yar-sale,0,RU,1584495053,83,66.83,70.83,-11.21,6.34
332,angoche,7,MZ,1584495054,97,-16.23,39.91,22.52,2.4
333,pringsewu,54,ID,1584495054,70,-5.36,104.97,28.22,2.39
334,trofors,100,NO,1584495054,86,65.53,13.41,3.0,8.2
335,abeche,100,TD,1584495054,13,13.83,20.83,23.83,9.08
336,omsukchan,100,RU,1584495054,88,62.53,155.8,-13.06,1.59
337,vardo,100,NO,1584495055,92,70.37,31.11,-1.55,2.91
338,calumpit,40,PH,1584495055,65,14.9,120.77,30.0,4.1
339,katsuura,20,JP,1584495055,50,35.13,140.3,15.56,2.1
340,ossora,100,RU,1584495055,83,59.24,163.07,-6.28,7.72
341,tadine,11,NC,1584495055,68,-21.55,167.88,26.24,7.27
342,matale,97,LK,1584495056,58,7.47,80.62,27.76,1.02
343,kyra,0,RU,1584495057,40,49.58,111.98,-3.39,12.0
344,hadejia,93,NG,1584495057,9,12.45,10.04,22.18,3.88
345,lavrentiya,65,RU,1584495058,82,65.58,-171.0,-1.44,6.69
346,marquette,5,US,1584495058,68,46.53,-87.63,-2.0,3.6
347,kampong cham,100,KH,1584495058,50,11.99,105.46,30.91,4.74
348,mogadishu,0,SO,1584495006,80,2.04,45.34,28.0,7.02
349,ninghai,63,CN,1584495058,63,29.29,121.42,20.56,1.0
350,pangai,75,TO,1584495058,94,-19.8,-174.35,27.0,2.6
351,lazaro cardenas,0,MX,1584495000,67,17.96,-102.2,27.03,3.47
352,oriximina,100,BR,1584495059,87,-1.77,-55.87,25.92,2.62
353,bac lieu,100,VN,1584495059,47,9.29,105.72,31.47,4.97
354,tual,34,ID,1584495059,71,-5.67,132.75,28.33,1.77
355,todos santos,75,MX,1584495060,44,23.45,-110.22,25.0,4.1
356,naze,100,JP,1584495060,63,28.37,129.48,19.0,2.1
357,chattanooga,40,US,1584495007,82,35.05,-85.31,17.0,3.6
358,palmer,40,US,1584495060,84,42.16,-72.33,7.22,4.6
359,leningradskiy,100,RU,1584495060,80,69.38,178.42,0.02,3.05
360,gatesville,75,US,1584495061,73,31.44,-97.74,24.0,3.1
361,huilong,1,CN,1584495061,59,31.81,121.66,20.0,2.24
362,shache,100,CN,1584495061,71,38.42,77.24,11.67,1.28
363,treinta y tres,100,UY,1584495061,84,-33.23,-54.38,19.23,6.03
364,kalaleh,90,IR,1584495062,100,37.38,55.49,9.0,1.01
365,alta floresta,100,BR,1584495062,94,-9.88,-56.09,22.89,0.54
366,sydney,0,AU,1584494324,44,-33.87,151.21,24.44,3.1
367,virginia beach,75,US,1584494892,72,36.85,-75.98,17.0,2.6
368,vikindu,75,TZ,1584495063,88,-7.01,39.3,25.0,2.1
369,hit,99,IQ,1584495063,67,33.64,42.83,18.07,6.41
370,kankan,98,GN,1584495063,47,10.39,-9.31,28.56,4.15
371,vanimo,77,PG,1584495064,76,-2.67,141.3,28.25,5.37
372,sakaiminato,75,JP,1584495066,81,35.55,133.23,12.0,3.1
373,north platte,90,US,1584495067,80,41.12,-100.77,4.0,5.1
374,redding,90,US,1584494969,87,40.59,-122.39,7.0,1.5
375,bismarck,90,US,1584495054,69,46.81,-100.78,3.0,4.1
376,richards bay,82,ZA,1584495068,71,-28.78,32.04,22.0,11.18
377,lunglei,0,IN,1584495068,25,22.88,92.73,30.5,0.22
378,puerto colombia,0,CO,1584495063,69,10.99,-74.95,26.0,7.7
379,bonthe,73,SL,1584495068,84,7.53,-12.51,26.62,2.7
380,kambam,80,ID,1584495068,63,5.25,96.86,27.93,1.32
381,zyuzelskiy,40,RU,1584495068,86,56.49,60.13,-3.0,4.0
382,vung tau,8,VN,1584494805,81,10.35,107.08,25.1,4.45
383,hasaki,20,JP,1584495069,47,35.73,140.83,15.56,5.1
384,bukama,100,CD,1584495069,99,-9.2,25.85,20.77,1.39
